id,cityDesc,provDesc,regDesc,latitude,longitude
1,Aborlan,Palawan,REGION IV-B ,9.433,118.55
2,Abra de Ilog,Occidental Mindoro,REGION IV-B ,13.45,120.733
3,Abucay,Bataan,REGION III ,14.733,120.533
4,Abulug,Cagayan,REGION II ,18.45,121.45
5,Abuyog,Leyte,REGION VIII ,10.733,125.017
6,Adams,Ilocos Norte,REGION I ,18.467,120.9
7,Agdangan,Quezon,REGION IV-A ,13.867,121.917
8,Aglipay,Quirino,REGION II ,16.467,121.65
9,Agno,Pangasinan,REGION I ,16.117,119.8
10,Agoncillo,Batangas,REGION IV-A ,13.933,120.933
11,Agoo,La Union,REGION I ,16.325,120.36861
12,Aguilar,Pangasinan,REGION I ,15.833,120.2
13,Aguinaldo,Ifugao,CAR,16.783,121.317
14,Agutaya,Palawan,REGION IV-B ,11.15,120.95
15,Ajuy,Iloilo,REGION VI ,11.167,123.017
16,Akbar,Basilan,BARMM,6.65,122.217
17,Alabat,Quezon,REGION IV-A ,14.1,122.017
18,Alabel,Sarangani,REGION XII ,6.083,125.283
19,Alamada,North Cotabato,REGION XII ,7.333,124.567
20,Alaminos,Laguna,REGION IV-A ,14.06306,121.24806
21,Alaminos City,Pangasinan,REGION I ,16.16028,119.98028
22,Alangalang,Leyte,REGION VIII ,11.2,124.85
23,Al-Barka,Basilan,BARMM,6.467,122.183
24,Albuera,Leyte,REGION VIII ,10.917,124.7
25,Alburquerque,Bohol,REGION VII ,9.6,123.95
26,Alcala,Cagayan,REGION II ,17.9,121.65
27,Alcala,Pangasinan,REGION I ,15.84722,120.52417
28,Alcantara,Cebu,REGION VII ,9.98,123.4
29,Alcantara,Romblon,REGION IV-B ,12.267,122.05
30,Alcoy,Cebu,REGION VII ,9.68,123.5
31,Alegria,Cebu,REGION XII,9.77,123.38
32,Alegria,Dinagat Islands,REGION VIII ,9.467,125.583
33,Aleosan,North Cotabato,REGION XII ,7.15,124.583
34,Alfonso,Cavite,REGION IV-A ,14.14083,120.85389
35,Alfonso Castaneda,Nueva Vizcaya,REGION II ,15.8,121.3
36,Alfonso Lista,Ifugao,CAR,16.9,121.517
37,Aliaga,Nueva Ecija,REGION III ,15.5,120.84389
38,Alicia,Bohol,REGION VII ,9.9,124.45
39,Alicia,Isabela,REGION II ,16.783,121.7
40,Alicia,Zamboanga Sibugay,REGION IX ,7.50833,122.94167
41,Alilem,Ilocos Sur,REGION I ,16.883,120.533
42,Alimodian,Iloilo,REGION VI ,10.817,122.433
43,Alitagtag,Batangas,REGION IV-A ,13.867,121
44,Allacapan,Cagayan,REGION II ,18.25,121.583
45,Allen,Northern Samar,REGION VIII ,12.5,124.283
46,Almagro,Samar,REGION VIII ,11.917,124.283
47,Almeria,Biliran,REGION VIII ,11.617,124.383
48,Aloguinsan,Cebu,REGION VII ,10.22,123.55
49,Aloran,Misamis Occidental,REGION X ,8.417,123.817
50,Altavas,Aklan,REGION VI ,11.533,122.483
51,Alubijid,Misamis Oriental,REGION X ,8.567,124.467
52,Amadeo,Cavite,REGION IV-A ,14.167,120.917
53,Ambaguio,Nueva Vizcaya,REGION II ,16.517,121.017
54,Amlan,Negros Oriental,REGION VII ,9.45,123.233
55,Ampatuan,Maguindanao,BARMM,6.867,124.467
56,Amulung,Cagayan,REGION II ,17.833,121.733
57,Anahawan,Southern Leyte,REGION VIII ,10.283,125.25
58,Anao,Tarlac,REGION III ,15.72889,120.62611
59,Anda,Bohol,REGION VII ,9.75,124.57
60,Anda,Pangasinan,REGION I ,16.283,119.967
61,Angadanan,Isabela,REGION II ,16.75,121.75
62,Angat,Bulacan,REGION III ,14.933,121.033
63,Angeles City,Pampanga,REGION III ,15.15,120.58
64,Angono,Rizal,REGION IV-A ,14.533,121.15
65,Anilao,Iloilo,REGION VI ,11,122.717
66,Anini-y,Antique,REGION VI ,10.433,121.933
67,Antequera,Bohol,REGION VII ,9.78,123.9
68,Antipas,North Cotabato,REGION XII ,7.25,125.05
69,Antipolo City,Rizal,REGION IV-A ,14.583,121.167
70,Apalit,Pampanga,REGION III ,14.95,120.767
71,Aparri,Cagayan,REGION II ,18.333,121.667
72,Araceli,Palawan,REGION IV-B ,10.333,119.6
73,Arakan,North Cotabato,REGION XII ,7.35,125.133
74,Arayat,Pampanga,REGION III ,15.15,120.767
75,Argao,Cebu,REGION VII ,9.88,123.6
76,Aringay,La Union,REGION I ,16.383,120.417
77,Aritao,Nueva Vizcaya,REGION II ,16.3,121.033
78,Aroroy,Masbate,REGION V ,12.5,123.4
79,Arteche,Eastern Samar,REGION VIII ,12.267,125.367
80,Asingan,Pangasinan,REGION I ,16,120.667
81,Asipulo,Ifugao,CAR,16.6,121.05
82,Asturias,Cebu,REGION VII ,10.57,123.72
