"Quezon City",14.65,121.0475,"Metro Manila",NCR
"Zamboanga City",6.9042,122.0761,"Zamboanga del Sur","IX (Zamboanga Peninsula)"
Davao,7.07,125.6,"Davao del Sur","XI (Davao Region)"
"Caloocan City",14.65,120.97,"Metro Manila",NCR
Canagatan,18,121.8,Apayao,CAR
"Cebu City",10.32,123.75,Cebu,"Central Visayas (Region VII)"
Antipolo,14.5842,121.1763,Rizal,"CALABARZON (Region IV-A)"
"Taguig City",14.52,121.05,"Metro Manila",NCR
"Pasig City",14.5605,121.0765,"Metro Manila",NCR
"Cagayan de Oro",8.48,124.65,"Misamis Oriental","Northern Mindanao (Region X)"
Valenzuela,14.7,120.98,"Metro Manila",NCR
Dasmariñas,14.33,120.94,Cavite,"CALABARZON (Region IV-A)"
"General Santos",6.12,125.17,"South Cotabato","SOCCSKSARGEN (Region XII)"
"City of Parañaque",14.5008,120.9915,"Metro Manila","National Capital Region (NCR)"
Bacoor,14.4624,120.9645,Cavite,"IV-A (CALABARZON)"
Tondo,14.617,120.967,"Metro Manila",NCR
"San Jose del Monte",14.8139,121.0453,Bulacan,"Central Luzon (Region III)"
"Makati City",14.5567,121.0214,"Metro Manila","National Capital Region (NCR)"
"Las Piñas City",14.45,120.98,"Metro Manila","National Capital Region (NCR)"
Bacolod,10.6765,122.9509,"Negros Occidental","Western Visayas (Region VI)"
Iloilo,10.72,122.57,Iloilo,"Western Visayas (Region VI)"
"Muntinlupa City",14.38,121.05,"Metro Manila","National Capital Region (NCR)"
"City of Calamba",14.22,121.17,Laguna,"CALABARZON (Region IV-A)"
"Lapu-Lapu City",10.3127,123.9488,Cebu,"Central Visayas (Region VII)"
Imus,14.4297,120.9367,Cavite,"CALABARZON (Region IV-A)"
"Angeles City",15.1472,120.5847,Pampanga,"Central Luzon (Region III)"
"Marikina City",14.65,121.1,"Metro Manila","National Capital Region (NCR)"
"General Trias",14.38,120.88,Cavite,"CALABARZON (Region IV-A)"
Rodriguez,14.72,121.12,Rizal,"CALABARZON (Region IV-A)"
"Pasay City",14.55,121,"Metro Manila",NCR
"Mandaluyong City",14.58,121.03,"Metro Manila",NCR
"Santa Rosa",14.32,121.12,Laguna,"CALABARZON (Region IV-A)"
Biñan,14.33,121.08,Laguna,"CALABARZON (Region IV-A)"
Sampaloc,14.6031,121.0022,"Metro Manila",NCR
Taytay,14.5692,121.1325,Rizal,"CALABARZON (Region IV-A)"
"Tarlac City",15.4869,120.59,Tarlac,"Central Luzon (Region III)"
Malabon,14.66,120.96,"Metro Manila",NCR
Cainta,14.57,121.12,Rizal,"CALABARZON (Region IV-A)"
"Lipa City",13.9411,121.1622,Batangas,"CALABARZON (Region IV-A)"
Butuan,8.948,125.543,"Agusan del Norte","Caraga (Region XIII)"
"Baguio City",16.4119,120.5933,Benguet,"Cordillera Administrative Region (CAR)"
"Mandaue City",10.33,123.93,Cebu,"Central Visayas (Region VII)"
Iligan,8.23,124.25,"Lanao del Norte","Northern Mindanao (Region X)"
Cabuyao,14.275,121.125,Laguna,"CALABARZON (Region IV-A)"
"San Fernando",15.03,120.68,Pampanga,"Central Luzon (Region III)"
Batangas,13.83,121,Batangas,"CALABARZON (Region IV-A)"
"Naga City",13.6244,123.1864,"Camarines Sur","Bicol Region (Region V)"
"Cabanatuan City",15.4908,120.9678,"Nueva Ecija","Central Luzon (Region III)"
"San Pedro",14.3583,121.0583,Laguna,"IV-A (CALABARZON)"
Cotabato,7.22,124.25,"Maguindanao del Norte","Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)"
Binangonan,14.4514,121.1919,Rizal,"CALABARZON (Region IV-A)"
Tanza,14.3944,120.8531,Cavite,"CALABARZON (Region IV-A)"
"Puerto Princesa",9.75,118.75,Palawan,"MIMAROPA (Region IV-B)"
Tagum,7.4478,125.8078,"Davao del Norte","Davao Region (Region XI)"
Silang,14.2306,120.975,Cavite,"CALABARZON (Region IV-A)"
Mabalacat,15.22,120.58,Pampanga,"Central Luzon (Region III)"
"Santa Maria",14.82,120.96,Bulacan,"Central Luzon (Region III)"
"San Pablo",14.07,121.325,Laguna,"CALABARZON (Region IV-A)"
Lucena,13.93,121.62,Quezon,"CALABARZON (Region IV-A)"
"San Mateo",14.6969,121.1219,Rizal,"CALABARZON (Region IV-A)"
Talisay,10.25,123.83,Cebu,"Central Visayas (Region VII)"
Malolos,14.8433,120.8114,Bulacan,"Central Luzon (Region III)"
Olongapo,14.83,120.28,Zambales,"Central Luzon (Region III)"
Marilao,14.7581,120.9481,Bulacan,"Central Luzon (Region III)"
Tacloban,11.24,125,Leyte,"Eastern Visayas (Region VIII)"
Navotas,14.6667,120.9417,"Metro Manila",NCR
Ormoc,11.0106,124.6075,Leyte,"Eastern Visayas (Region VIII)"
Meycauayan,14.73,120.95,Bulacan,"Central Luzon (Region III)"
"Santo Tomas",14.08,121.18,Batangas,"CALABARZON (Region IV-A)"
Valencia,7.9042,125.0928,Bukidnon,"Northern Mindanao (Region X)"
"Trece Martires City",14.28,120.87,Cavite,"CALABARZON (Region IV-A)"
Pagadian,7.8272,123.4364,"Zamboanga del Sur","Zamboanga Peninsula (Region IX)"
"Legazpi City",13.13,123.73,Albay,"Bicol Region (Region V)"
Panabo,7.3,125.68,"Davao del Norte","Davao Region (Region XI)"
Toledo,10.38,123.65,Cebu,"Central Visayas (Region VII)"
"Marawi City",8.0031,124.285,"Lanao del Sur","Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)"
"San Carlos City",15.9281,120.3489,Pangasinan,"Ilocos Region (Region I)"
"Santa Ana",14.58,121.012,"Metro Manila",NCR
Kabankalan,9.98,122.82,"Negros Occidental","Western Visayas (Region VI)"
Koronadal,6.5,124.85,"South Cotabato","SOCCSKSARGEN (Region XII)"
Tanauan,14.08,121.15,Batangas,"CALABARZON (Region IV-A)"
Bago,10.5388,122.8384,"Negros Occidental","Western Visayas (Region VI)"
Malaybalay,8.1564,125.1333,Bukidnon,"Northern Mindanao (Region X)"
Digos,6.75,125.35,"Davao del Sur","Davao Region (Region XI)"
"Calbayog City",12.07,124.6,Samar,"Eastern Visayas (Region VIII)"
Sorsogon,12.9742,124.0058,Sorsogon,"Bicol Region (Region V)"
"Roxas City",11.5894,122.7511,Capiz,"Western Visayas (Region VI)"
"Dagupan City",16.043,120.334,Pangasinan,"Ilocos Region (Region I)"
Lubao,14.93,120.6,Pampanga,"Central Luzon (Region III)"
Mexico,15.07,120.72,Pampanga,"Central Luzon (Region III)"
Polomolok,6.22,125.07,"South Cotabato","SOCCSKSARGEN (Region XII)"
"General Mariano Alvarez",14.3,121,Cavite,"IV-A (CALABARZON)"
"San Miguel",15.1458,120.9783,Bulacan,"Central Luzon (Region III)"
Surigao,9.7897,125.4958,"Surigao del Norte","Caraga Region (Region XIII)"
Concepcion,15.3249,120.6554,Tarlac,"Central Luzon (Region III)"
Baliuag,14.954,120.901,Bulacan,"Central Luzon (Region III)"
Tuguegarao,17.6133,121.7303,Cagayan,"Cagayan Valley (Region II)"
Sariaya,13.97,121.53,Quezon,"CALABARZON (Region IV-A)"
Naic,14.32,120.77,Cavite,"CALABARZON (Region IV-A)"
Kidapawan,7.0083,125.0894,Cotabato,"SOCCSKSARGEN (Region XII)"
Cadiz,10.95,123.3,"Negros Occidental","Western Visayas (Region VI)"
Ilagan,17.1489,121.8894,Isabela,"Cagayan Valley (Region II)"
Danao,10.53,123.93,Cebu,"Central Visayas (Region VII)"
Capas,15.3372,120.59,Tarlac,"Central Luzon (Region III)"
Pandi,14.87,120.95,Bulacan,"Central Luzon (Region III)"
"San Jose",12.3528,121.0676,"Occidental Mindoro","MIMAROPA (Region IV-B)"
Poblacion,10.42,123.97,"Metro Manila",NCR
Minglanilla,10.245,123.7964,Cebu,"Central Visayas (Region VII)"
"San Jose",15.8037,120.9991,"Nueva Ecija","Central Luzon (Region III)"
Mariveles,14.43,120.48,Bataan,"Central Luzon (Region III)"
Sagay,10.9,123.42,"Negros Occidental","Western Visayas (Region VI)"
Santiago,16.68,121.55,Isabela,"Cagayan Valley (Region II)"
Consolacion,10.4,123.95,Cebu,"Central Visayas (Region VII)"
Mati,6.9483,126.2272,"Davao Oriental","Davao Region (Region XI)"
Calapan,13.414,121.18,"Oriental Mindoro","MIMAROPA (Region IV-B)"
Calapan,13.414,121.18,"Oriental Mindoro","MIMAROPA (Region IV-B)"
Arayat,15.1493,120.7692,Pampanga,"Central Luzon (Region III)"
Urdaneta,15.9761,120.5711,Pangasinan,"Ilocos Region (Region I)"
Calabayan,16.77,121.78,Isabela,"Cagayan Valley (Region II)"
Malasiqui,15.92,120.42,Pangasinan,"Ilocos Region (Region I)"
Bocaue,14.8,120.93,Bulacan,"Central Luzon (Region III)"
Tabaco,13.35,123.73,Albay,"Bicol Region (Region V)"
Porac,15.0719,120.5419,Pampanga,"Central Luzon (Region III)"
"Ozamiz City",8.15,123.85,"Misamis Occidental","Northern Mindanao (Region X)"
Payatas,14.7099,121.0997,"Metro Manila",NCR
Tanay,14.4972,121.2864,Rizal,"Calabarzon (Region IV-A)"
